review_rank,case_id,route_label,priority_score,predicted_exploitation_type,P(Sex),P(Labor),P(Both),confidence,target_probability,key_indicators,selected_for_review,reviewer_action,reviewer_notes
1,CTDC-SYN-0116,Multidisciplinary review,77.3,Both,0.08519124,0.14565684,0.7691519,0.7691519,0.7691519,abuse_indicators; denial_basic_needs; minor_young_indicator; close_recruiter_relationship,True,,
2,CTDC-SYN-0041,Multidisciplinary review,70.38,Both,0.116200656,0.14958562,0.7342137,0.7342137,0.7342137,threats; abuse_indicators; denial_basic_needs; close_recruiter_relationship,True,,
3,CTDC-SYN-0351,Multidisciplinary review,67.53,Both,0.025930807,0.1098058,0.8642634,0.8642634,0.8642634,abuse_indicators; close_recruiter_relationship,True,,
4,CTDC-SYN-0305,Multidisciplinary review,66.82,Both,0.027272055,0.21234511,0.76038283,0.76038283,0.76038283,abuse_indicators; denial_basic_needs; false_promises; close_recruiter_relationship,True,,
5,CTDC-SYN-0280,Multidisciplinary review,60.46,Both,0.014179629,0.4319631,0.55385727,0.55385727,0.55385727,abuse_indicators; drugs_alcohol_control; false_promises; close_recruiter_relationship,True,,
6,CTDC-SYN-0233,Multidisciplinary review,59.51,Both,0.14534228,0.3181286,0.5365291,0.5365291,0.5365291,denial_basic_needs; minor_young_indicator; close_recruiter_relationship,True,,
7,CTDC-SYN-0361,Multidisciplinary review,58.49,Both,0.0131001705,0.28703538,0.6998645,0.6998645,0.6998645,threats; abuse_indicators,True,,
8,CTDC-SYN-0388,Multidisciplinary review,57.08,Both,0.021835826,0.3039728,0.67419136,0.67419136,0.67419136,threats; abuse_indicators; drugs_alcohol_control,True,,
9,CTDC-SYN-0085,Multidisciplinary review,56.33,Both,0.3338009,0.09652439,0.5696747,0.5696747,0.5696747,threats; abuse_indicators; close_recruiter_relationship,True,,
10,CTDC-SYN-0172,Multidisciplinary review,56.25,Both,0.09110183,0.15895975,0.7499384,0.7499384,0.7499384,denial_basic_needs; minor_young_indicator,True,,
11,CTDC-SYN-0321,Multidisciplinary review,51.12,Both,0.013852258,0.32939926,0.6567485,0.6567485,0.6567485,abuse_indicators; denial_basic_needs; false_promises,True,,
12,CTDC-SYN-0381,Multidisciplinary review,51.12,Both,0.013852258,0.32939926,0.6567485,0.6567485,0.6567485,abuse_indicators; denial_basic_needs; false_promises,True,,
13,CTDC-SYN-0312,Multidisciplinary review,50.01,Sex,0.99288803,0.0028859037,0.0042260583,0.99288803,0.0042260583,threats; denial_basic_needs; drugs_alcohol_control; false_promises; minor_young_indicator; close_recruiter_relationship,True,,
14,CTDC-SYN-0317,Multidisciplinary review,49.88,Sex,0.841341,0.071549945,0.08710911,0.841341,0.08710911,threats; abuse_indicators; denial_basic_needs; false_promises; minor_young_indicator; close_recruiter_relationship,True,,
15,CTDC-SYN-0230,Multidisciplinary review,49.29,Sex,0.9538391,0.040047616,0.006113285,0.9538391,0.006113285,threats; abuse_indicators; denial_basic_needs; drugs_alcohol_control; false_promises; close_recruiter_relationship,True,,
16,CTDC-SYN-0246,Multidisciplinary review,49.2,Sex,0.62742007,0.03972233,0.33285758,0.62742007,0.33285758,abuse_indicators; false_promises; minor_young_indicator; close_recruiter_relationship,True,,
17,CTDC-SYN-0003,Multidisciplinary review,49.05,Labor,0.09812884,0.5013461,0.40052503,0.5013461,0.40052503,threats; abuse_indicators; denial_basic_needs; false_promises; minor_young_indicator,True,,
18,CTDC-SYN-0223,Multidisciplinary review,48.18,Labor,0.015736908,0.7512123,0.23305084,0.7512123,0.23305084,threats; abuse_indicators; denial_basic_needs; drugs_alcohol_control; false_promises,True,,
19,CTDC-SYN-0324,Multidisciplinary review,47.87,Labor,0.16532765,0.4231652,0.41150716,0.4231652,0.41150716,abuse_indicators; false_promises; close_recruiter_relationship,True,,
20,CTDC-SYN-0365,Multidisciplinary review,47.46,Labor,0.022459075,0.7832658,0.19427511,0.7832658,0.19427511,abuse_indicators; denial_basic_needs; drugs_alcohol_control,True,,
21,CTDC-SYN-0238,Multidisciplinary review,47.22,Both,0.012842897,0.3103725,0.67678463,0.67678463,0.67678463,abuse_indicators; false_promises,True,,
22,CTDC-SYN-0066,Multidisciplinary review,46.93,Labor,0.011464397,0.8448744,0.14366126,0.8448744,0.14366126,denial_basic_needs; close_recruiter_relationship,True,,
23,CTDC-SYN-0086,Multidisciplinary review,46.8,Sex,0.75751716,0.05235705,0.19012581,0.75751716,0.19012581,abuse_indicators; minor_young_indicator; close_recruiter_relationship,True,,
24,CTDC-SYN-0197,Multidisciplinary review,46.22,Labor,0.0046512615,0.90781045,0.0875383,0.90781045,0.0875383,threats; denial_basic_needs; drugs_alcohol_control; false_promises,True,,
25,CTDC-SYN-0264,Multidisciplinary review,45.48,Sex,0.8960569,0.030760815,0.073182225,0.8960569,0.073182225,threats; abuse_indicators; false_promises; minor_young_indicator; close_recruiter_relationship,True,,
26,CTDC-SYN-0340,Multidisciplinary review,45.39,Sex,0.88755333,0.03695365,0.07549304,0.88755333,0.07549304,abuse_indicators; denial_basic_needs; false_promises; minor_young_indicator; close_recruiter_relationship,True,,
27,CTDC-SYN-0047,Multidisciplinary review,45.04,Sex,0.8734502,0.053184714,0.07336508,0.8734502,0.07336508,threats; denial_basic_needs; minor_young_indicator; close_recruiter_relationship,True,,
28,CTDC-SYN-0069,Multidisciplinary review,45.04,Sex,0.9948285,0.0009881053,0.004183316,0.9948285,0.004183316,denial_basic_needs; drugs_alcohol_control; false_promises; minor_young_indicator; close_recruiter_relationship,True,,
29,CTDC-SYN-0320,Multidisciplinary review,45.03,Sex,0.9729673,0.010631826,0.01640085,0.9729673,0.01640085,threats; abuse_indicators; minor_young_indicator; close_recruiter_relationship,True,,
30,CTDC-SYN-0199,Multidisciplinary review,45.03,Sex,0.9729673,0.010631826,0.01640085,0.9729673,0.01640085,threats; abuse_indicators; minor_young_indicator; close_recruiter_relationship,True,,
31,CTDC-SYN-0005,Multidisciplinary review,45.03,Sex,0.9729673,0.010631826,0.01640085,0.9729673,0.01640085,threats; abuse_indicators; minor_young_indicator; close_recruiter_relationship,False,,
32,CTDC-SYN-0022,Multidisciplinary review,45.02,Sex,0.9962276,0.0011166458,0.0026557872,0.9962276,0.0026557872,denial_basic_needs; drugs_alcohol_control; minor_young_indicator; close_recruiter_relationship,False,,
33,CTDC-SYN-0225,Multidisciplinary review,44.98,Sex,0.9957567,0.0023429445,0.0019003442,0.9957567,0.0019003442,threats; drugs_alcohol_control; minor_young_indicator; close_recruiter_relationship,False,,
34,CTDC-SYN-0242,Multidisciplinary review,44.89,Both,0.039896544,0.32566684,0.6344366,0.6344366,0.6344366,abuse_indicators,False,,
35,CTDC-SYN-0053,Multidisciplinary review,44.89,Both,0.039896544,0.32566684,0.6344366,0.6344366,0.6344366,abuse_indicators,False,,
36,CTDC-SYN-0266,Multidisciplinary review,44.83,Sex,0.98721373,0.010447221,0.0023390288,0.98721373,0.0023390288,threats; abuse_indicators; drugs_alcohol_control; close_recruiter_relationship,False,,
37,CTDC-SYN-0166,Multidisciplinary review,44.83,Sex,0.98721373,0.010447221,0.0023390288,0.98721373,0.0023390288,threats; abuse_indicators; drugs_alcohol_control; close_recruiter_relationship,False,,
38,CTDC-SYN-0140,Multidisciplinary review,44.39,Sex,0.9598659,0.034725685,0.005408419,0.9598659,0.005408419,threats; abuse_indicators; drugs_alcohol_control; false_promises; close_recruiter_relationship,False,,
39,CTDC-SYN-0218,Multidisciplinary review,43.67,Sex,0.8773574,0.09045195,0.032190617,0.8773574,0.032190617,denial_basic_needs; drugs_alcohol_control; close_recruiter_relationship,False,,
40,CTDC-SYN-0257,Multidisciplinary review,43.66,Labor,0.027254157,0.6923577,0.28038815,0.6923577,0.28038815,threats; abuse_indicators; denial_basic_needs,False,,
41,CTDC-SYN-0378,Multidisciplinary review,43.57,Labor,0.11021744,0.8378548,0.05192782,0.8378548,0.05192782,threats; denial_basic_needs; close_recruiter_relationship,False,,
42,CTDC-SYN-0318,Multidisciplinary review,43.57,Labor,0.11021744,0.8378548,0.05192782,0.8378548,0.05192782,threats; denial_basic_needs; close_recruiter_relationship,False,,
43,CTDC-SYN-0111,Multidisciplinary review,43.32,Labor,0.013248078,0.7476917,0.23906025,0.7476917,0.23906025,abuse_indicators; denial_basic_needs; false_promises,False,,
44,CTDC-SYN-0353,Multidisciplinary review,43.31,Labor,0.02865581,0.7121845,0.25915974,0.7121845,0.25915974,abuse_indicators; denial_basic_needs; drugs_alcohol_control,False,,
45,CTDC-SYN-0301,Multidisciplinary review,42.81,Labor,0.012130479,0.7845393,0.20333023,0.7845393,0.20333023,abuse_indicators; denial_basic_needs; drugs_alcohol_control; false_promises,False,,
46,CTDC-SYN-0057,Multidisciplinary review,42.3,Labor,0.016772132,0.80755806,0.17566983,0.80755806,0.17566983,denial_basic_needs; false_promises; close_recruiter_relationship,False,,
47,CTDC-SYN-0004,Multidisciplinary review,42.0,Both,0.23832901,0.36163342,0.40003753,0.40003753,0.40003753,threats; abuse_indicators,False,,
48,CTDC-SYN-0338,Multidisciplinary review,42.0,Labor,0.11766693,0.59227425,0.29005882,0.59227425,0.29005882,threats; abuse_indicators; false_promises,False,,
49,CTDC-SYN-0105,Multidisciplinary review,42.0,Labor,0.0143628055,0.83305216,0.152585,0.83305216,0.152585,denial_basic_needs; close_recruiter_relationship,False,,
50,CTDC-SYN-0215,Multidisciplinary review,42.0,Labor,0.0143628055,0.83305216,0.152585,0.83305216,0.152585,denial_basic_needs; close_recruiter_relationship,False,,
51,CTDC-SYN-0179,Multidisciplinary review,41.82,Labor,0.0507165,0.7605792,0.18870428,0.7605792,0.18870428,threats; close_recruiter_relationship,False,,
52,CTDC-SYN-0025,Multidisciplinary review,41.71,Labor,0.015682863,0.849363,0.13495411,0.849363,0.13495411,threats; abuse_indicators; denial_basic_needs; false_promises,False,,
53,CTDC-SYN-0226,Multidisciplinary review,41.34,Sex,0.5946689,0.13532136,0.27000973,0.5946689,0.27000973,threats; abuse_indicators; drugs_alcohol_control; minor_young_indicator,False,,
54,CTDC-SYN-0191,Multidisciplinary review,41.1,Labor,0.0027085599,0.9203318,0.07695962,0.9203318,0.07695962,threats; denial_basic_needs,False,,
55,CTDC-SYN-0202,Multidisciplinary review,41.1,Labor,0.0027085599,0.9203318,0.07695962,0.9203318,0.07695962,threats; denial_basic_needs,False,,
56,CTDC-SYN-0102,Multidisciplinary review,40.4,Sex,0.4145215,0.38222775,0.20325077,0.4145215,0.20325077,threats; abuse_indicators; drugs_alcohol_control,False,,
57,CTDC-SYN-0339,Multidisciplinary review,40.34,Sex,0.93550843,0.017995838,0.04649565,0.93550843,0.04649565,denial_basic_needs; minor_young_indicator; close_recruiter_relationship,False,,
58,CTDC-SYN-0309,Multidisciplinary review,40.34,Sex,0.93550843,0.017995838,0.04649565,0.93550843,0.04649565,denial_basic_needs; minor_young_indicator; close_recruiter_relationship,False,,
59,CTDC-SYN-0128,Multidisciplinary review,40.34,Sex,0.93550843,0.017995838,0.04649565,0.93550843,0.04649565,denial_basic_needs; minor_young_indicator; close_recruiter_relationship,False,,
60,CTDC-SYN-0110,Multidisciplinary review,40.26,Labor,0.0915454,0.7687684,0.13968615,0.7687684,0.13968615,drugs_alcohol_control; close_recruiter_relationship,False,,
61,CTDC-SYN-0144,Multidisciplinary review,40.2,Labor,0.07663859,0.8077702,0.11559125,0.8077702,0.11559125,abuse_indicators; denial_basic_needs,False,,
62,CTDC-SYN-0395,Multidisciplinary review,40.01,Sex,0.98744,0.0052150604,0.0073449127,0.98744,0.0073449127,abuse_indicators; minor_young_indicator; close_recruiter_relationship,False,,
63,CTDC-SYN-0176,Multidisciplinary review,39.96,Sex,0.9929778,0.0041583152,0.0028638763,0.9929778,0.0028638763,abuse_indicators; denial_basic_needs; drugs_alcohol_control; minor_young_indicator,False,,
64,CTDC-SYN-0094,Multidisciplinary review,39.92,Sex,0.98905957,0.006869753,0.004070681,0.98905957,0.004070681,threats; abuse_indicators; drugs_alcohol_control; false_promises; minor_young_indicator,False,,
65,CTDC-SYN-0001,Multidisciplinary review,39.85,Both,0.025241228,0.4320288,0.5427299,0.5427299,0.5427299,abuse_indicators; false_promises,False,,
66,CTDC-SYN-0327,Multidisciplinary review,39.81,Labor,0.018606758,0.6361306,0.3452627,0.6361306,0.3452627,abuse_indicators,False,,
67,CTDC-SYN-0323,Multidisciplinary review,39.8,Sex,0.98741305,0.011044373,0.0015425629,0.98741305,0.0015425629,abuse_indicators; drugs_alcohol_control; close_recruiter_relationship,False,,
68,CTDC-SYN-0387,Multidisciplinary review,39.77,Labor,0.10625914,0.7675602,0.12618068,0.7675602,0.12618068,threats; abuse_indicators; denial_basic_needs; false_promises,False,,
69,CTDC-SYN-0188,Multidisciplinary review,39.64,Sex,0.97639775,0.02038895,0.0032132869,0.97639775,0.0032132869,denial_basic_needs; drugs_alcohol_control; false_promises; close_recruiter_relationship,False,,
70,CTDC-SYN-0006,Multidisciplinary review,39.41,Labor,0.14699875,0.69618815,0.1568131,0.69618815,0.1568131,close_recruiter_relationship,False,,
71,CTDC-SYN-0143,Multidisciplinary review,38.98,Labor,0.09285567,0.85131156,0.05583272,0.85131156,0.05583272,threats; abuse_indicators; denial_basic_needs; false_promises,False,,
72,CTDC-SYN-0260,Multidisciplinary review,38.98,Labor,0.09285567,0.85131156,0.05583272,0.85131156,0.05583272,threats; abuse_indicators; denial_basic_needs; false_promises,False,,
73,CTDC-SYN-0048,Multidisciplinary review,38.82,Sex,0.8919561,0.08002907,0.028014803,0.8919561,0.028014803,threats; abuse_indicators; denial_basic_needs; minor_young_indicator,False,,
74,CTDC-SYN-0399,Multidisciplinary review,38.38,Labor,0.1850307,0.67647564,0.13849363,0.67647564,0.13849363,denial_basic_needs; false_promises; minor_young_indicator,False,,
75,CTDC-SYN-0315,Multidisciplinary review,37.7,Labor,0.1850865,0.72160846,0.093305044,0.72160846,0.093305044,threats; abuse_indicators; denial_basic_needs,False,,
76,CTDC-SYN-0181,Multidisciplinary review,36.74,Labor,0.030265681,0.813431,0.15630335,0.813431,0.15630335,close_recruiter_relationship,False,,
77,CTDC-SYN-0300,Multidisciplinary review,36.3,Labor,0.07835164,0.73048204,0.19116634,0.73048204,0.19116634,false_promises; minor_young_indicator,False,,
78,CTDC-SYN-0370,Multidisciplinary review,36.25,Labor,0.07624394,0.73880666,0.18494941,0.73880666,0.18494941,close_recruiter_relationship,False,,
79,CTDC-SYN-0211,Multidisciplinary review,36.25,Labor,0.07624394,0.73880666,0.18494941,0.73880666,0.18494941,close_recruiter_relationship,False,,
80,CTDC-SYN-0236,Multidisciplinary review,36.17,Labor,0.062323283,0.7763118,0.16136487,0.7763118,0.16136487,false_promises; close_recruiter_relationship,False,,
81,CTDC-SYN-0064,Multidisciplinary review,35.78,Labor,0.0065203155,0.93303955,0.06044012,0.93303955,0.06044012,denial_basic_needs; drugs_alcohol_control,False,,
82,CTDC-SYN-0014,Multidisciplinary review,35.27,Labor,0.002887763,0.97502124,0.02209095,0.97502124,0.02209095,denial_basic_needs,False,,
83,CTDC-SYN-0056,Multidisciplinary review,35.27,Labor,0.003303677,0.97461456,0.022081735,0.97461456,0.022081735,denial_basic_needs; false_promises,False,,
84,CTDC-SYN-0183,Multidisciplinary review,35.27,Labor,0.003303677,0.97461456,0.022081735,0.97461456,0.022081735,denial_basic_needs; false_promises,False,,
85,CTDC-SYN-0322,Multidisciplinary review,35.17,Labor,0.0039100363,0.97973263,0.016357359,0.97973263,0.016357359,drugs_alcohol_control; false_promises,False,,
86,CTDC-SYN-0220,Multidisciplinary review,35.11,Labor,0.07242114,0.8234627,0.104116164,0.8234627,0.104116164,threats; minor_young_indicator,False,,
87,CTDC-SYN-0093,Multidisciplinary review,34.99,Sex,0.99287647,0.0031968737,0.0039265878,0.99287647,0.0039265878,abuse_indicators; drugs_alcohol_control; minor_young_indicator,False,,
88,CTDC-SYN-0160,Multidisciplinary review,34.97,Labor,0.012120153,0.97379994,0.014079885,0.97379994,0.014079885,denial_basic_needs,False,,
89,CTDC-SYN-0277,Multidisciplinary review,34.9,Sex,0.99278307,0.005813409,0.0014035624,0.99278307,0.0014035624,threats; drugs_alcohol_control; minor_young_indicator,False,,
90,CTDC-SYN-0319,Multidisciplinary review,34.88,Sex,0.98881686,0.008107469,0.0030756714,0.98881686,0.0030756714,threats; drugs_alcohol_control; false_promises; minor_young_indicator,False,,
91,CTDC-SYN-0107,Multidisciplinary review,34.78,Sex,0.9720457,0.01812771,0.009826553,0.9720457,0.009826553,threats; abuse_indicators; minor_young_indicator,False,,
92,CTDC-SYN-0119,Multidisciplinary review,34.78,Sex,0.9720457,0.01812771,0.009826553,0.9720457,0.009826553,threats; abuse_indicators; minor_young_indicator,False,,
93,CTDC-SYN-0392,Multidisciplinary review,34.77,Sex,0.9862373,0.012593107,0.0011696508,0.9862373,0.0011696508,drugs_alcohol_control; close_recruiter_relationship,False,,
94,CTDC-SYN-0210,Multidisciplinary review,34.75,Labor,0.27406898,0.7104234,0.015507591,0.7104234,0.015507591,threats; denial_basic_needs; drugs_alcohol_control; false_promises,False,,
95,CTDC-SYN-0018,Multidisciplinary review,34.72,Sex,0.9800828,0.016658967,0.0032581838,0.9800828,0.0032581838,drugs_alcohol_control; false_promises; close_recruiter_relationship,False,,
96,CTDC-SYN-0335,Multidisciplinary review,34.57,Sex,0.87910414,0.064050004,0.056845874,0.87910414,0.056845874,abuse_indicators; denial_basic_needs; minor_young_indicator,False,,
97,CTDC-SYN-0186,Multidisciplinary review,34.44,Labor,0.33204594,0.5956308,0.072323196,0.5956308,0.072323196,abuse_indicators; denial_basic_needs; false_promises; close_recruiter_relationship,False,,
98,CTDC-SYN-0113,Multidisciplinary review,34.41,Sex,0.9598644,0.034009997,0.006125674,0.9598644,0.006125674,abuse_indicators; denial_basic_needs; drugs_alcohol_control,False,,
99,CTDC-SYN-0302,Multidisciplinary review,33.48,Sex,0.91067004,0.08183834,0.0074916603,0.91067004,0.0074916603,abuse_indicators; close_recruiter_relationship,False,,
100,CTDC-SYN-0209,Multidisciplinary review,33.48,Sex,0.91067004,0.08183834,0.0074916603,0.91067004,0.0074916603,abuse_indicators; close_recruiter_relationship,False,,
101,CTDC-SYN-0316,Multidisciplinary review,33.0,Sex,0.7986222,0.14356786,0.057809945,0.7986222,0.057809945,threats; minor_young_indicator,False,,
102,CTDC-SYN-0019,Multidisciplinary review,32.99,Labor,0.010800314,0.7757235,0.21347615,0.7757235,0.21347615,denial_basic_needs; false_promises,False,,
103,CTDC-SYN-0141,Multidisciplinary review,32.99,Labor,0.010800314,0.7757235,0.21347615,0.7757235,0.21347615,denial_basic_needs; false_promises,False,,
104,CTDC-SYN-0244,Multidisciplinary review,32.99,Labor,0.010800314,0.7757235,0.21347615,0.7757235,0.21347615,denial_basic_needs; false_promises,False,,
105,CTDC-SYN-0385,Multidisciplinary review,32.96,Sex,0.8795089,0.1098637,0.010627402,0.8795089,0.010627402,threats; close_recruiter_relationship,False,,
106,CTDC-SYN-0212,Multidisciplinary review,32.61,Labor,0.0092964005,0.804327,0.18637656,0.804327,0.18637656,denial_basic_needs,False,,
107,CTDC-SYN-0078,Multidisciplinary review,32.61,Labor,0.0092964005,0.804327,0.18637656,0.804327,0.18637656,denial_basic_needs,False,,
108,CTDC-SYN-0270,Multidisciplinary review,32.49,Sex,0.8711286,0.1269447,0.0019266865,0.8711286,0.0019266865,threats; denial_basic_needs; drugs_alcohol_control,False,,
109,CTDC-SYN-0366,Multidisciplinary review,32.47,Sex,0.66927785,0.21395886,0.116763316,0.66927785,0.116763316,threats; false_promises; minor_young_indicator,False,,
110,CTDC-SYN-0112,Multidisciplinary review,31.31,Sex,0.797699,0.19213493,0.010166059,0.797699,0.010166059,abuse_indicators; drugs_alcohol_control; false_promises,False,,
111,CTDC-SYN-0232,Multidisciplinary review,30.95,Labor,0.23132426,0.73025465,0.0384211,0.73025465,0.0384211,threats; abuse_indicators; false_promises,False,,
112,CTDC-SYN-0092,Multidisciplinary review,30.89,Labor,0.27094132,0.6414813,0.087577425,0.6414813,0.087577425,abuse_indicators,False,,
113,CTDC-SYN-0051,Multidisciplinary review,30.5,Sex,0.8902593,0.032629035,0.077111654,0.8902593,0.077111654,abuse_indicators; false_promises; minor_young_indicator,False,,
114,CTDC-SYN-0089,Multidisciplinary review,30.5,Sex,0.8902593,0.032629035,0.077111654,0.8902593,0.077111654,abuse_indicators; false_promises; minor_young_indicator,False,,
115,CTDC-SYN-0325,Multidisciplinary review,30.29,Labor,0.0036659935,0.97202,0.024314007,0.97202,0.024314007,no configured indicator above threshold,False,,
116,CTDC-SYN-0049,Multidisciplinary review,30.29,Labor,0.0036659935,0.97202,0.024314007,0.97202,0.024314007,no configured indicator above threshold,False,,
117,CTDC-SYN-0180,Multidisciplinary review,30.29,Labor,0.0028585573,0.9742959,0.022845564,0.9742959,0.022845564,false_promises,False,,
118,CTDC-SYN-0017,Multidisciplinary review,30.29,Labor,0.0028585573,0.9742959,0.022845564,0.9742959,0.022845564,false_promises,False,,
119,CTDC-SYN-0214,Multidisciplinary review,30.29,Labor,0.0028585573,0.9742959,0.022845564,0.9742959,0.022845564,false_promises,False,,
120,CTDC-SYN-0012,Multidisciplinary review,30.24,Labor,0.012749346,0.95440304,0.03284763,0.95440304,0.03284763,denial_basic_needs,False,,
121,CTDC-SYN-0010,Multidisciplinary review,30.17,Labor,0.0060603432,0.9742158,0.019723788,0.9742158,0.019723788,threats; false_promises,False,,
122,CTDC-SYN-0384,Multidisciplinary review,30.14,Labor,0.008706727,0.9703363,0.020956935,0.9703363,0.020956935,threats,False,,
123,CTDC-SYN-0331,Multidisciplinary review,30.14,Labor,0.008706727,0.9703363,0.020956935,0.9703363,0.020956935,threats,False,,
124,CTDC-SYN-0184,Multidisciplinary review,29.97,Sex,0.99228376,0.0041191173,0.0035971154,0.99228376,0.0035971154,drugs_alcohol_control; minor_young_indicator,False,,
125,CTDC-SYN-0369,Multidisciplinary review,29.94,Sex,0.96986085,0.014687232,0.015451859,0.96986085,0.015451859,abuse_indicators; minor_young_indicator,False,,
126,CTDC-SYN-0282,Multidisciplinary review,29.92,Sex,0.8038342,0.08635249,0.10981331,0.8038342,0.10981331,denial_basic_needs; minor_young_indicator,False,,
127,CTDC-SYN-0272,Multidisciplinary review,29.67,Sex,0.97781897,0.018909166,0.0032718848,0.97781897,0.0032718848,abuse_indicators; drugs_alcohol_control,False,,
128,CTDC-SYN-0254,Multidisciplinary review,29.67,Sex,0.97781897,0.018909166,0.0032718848,0.97781897,0.0032718848,abuse_indicators; drugs_alcohol_control,False,,
129,CTDC-SYN-0269,Multidisciplinary review,29.67,Sex,0.97781897,0.018909166,0.0032718848,0.97781897,0.0032718848,abuse_indicators; drugs_alcohol_control,False,,
130,CTDC-SYN-0267,Multidisciplinary review,29.67,Sex,0.97781897,0.018909166,0.0032718848,0.97781897,0.0032718848,abuse_indicators; drugs_alcohol_control,False,,
131,CTDC-SYN-0087,Multidisciplinary review,29.61,Labor,0.096346006,0.80108184,0.10257216,0.80108184,0.10257216,denial_basic_needs; drugs_alcohol_control; false_promises,False,,
132,CTDC-SYN-0336,Multidisciplinary review,29.6,Labor,0.06557638,0.87352705,0.060896587,0.87352705,0.060896587,denial_basic_needs,False,,
133,CTDC-SYN-0326,Multidisciplinary review,29.6,Labor,0.06557638,0.87352705,0.060896587,0.87352705,0.060896587,denial_basic_needs,False,,
134,CTDC-SYN-0308,Multidisciplinary review,29.51,Sex,0.45638907,0.3897499,0.15386105,0.45638907,0.15386105,false_promises; close_recruiter_relationship,False,,
135,CTDC-SYN-0334,Multidisciplinary review,29.4,Sex,0.9535954,0.037086464,0.009318154,0.9535954,0.009318154,threats; minor_young_indicator,False,,
136,CTDC-SYN-0131,Multidisciplinary review,29.4,Sex,0.9535954,0.037086464,0.009318154,0.9535954,0.009318154,threats; minor_young_indicator,False,,
137,CTDC-SYN-0389,Multidisciplinary review,29.29,Labor,0.35569322,0.5504866,0.09382018,0.5504866,0.09382018,abuse_indicators; false_promises; close_recruiter_relationship,False,,
138,CTDC-SYN-0072,Multidisciplinary review,29.22,Sex,0.94011945,0.047879778,0.012000768,0.94011945,0.012000768,abuse_indicators; drugs_alcohol_control; false_promises,False,,
139,CTDC-SYN-0159,Multidisciplinary review,29.2,Sex,0.8917381,0.06920333,0.039058514,0.8917381,0.039058514,threats; false_promises; minor_young_indicator,False,,
140,CTDC-SYN-0192,Multidisciplinary review,29.08,Sex,0.93815523,0.052889567,0.008955236,0.93815523,0.008955236,threats; abuse_indicators,False,,
141,CTDC-SYN-0205,Multidisciplinary review,29.08,Sex,0.93815523,0.052889567,0.008955236,0.93815523,0.008955236,threats; abuse_indicators,False,,
142,CTDC-SYN-0341,Multidisciplinary review,28.94,Sex,0.60617137,0.34183314,0.05199545,0.60617137,0.05199545,abuse_indicators; close_recruiter_relationship,False,,
143,CTDC-SYN-0356,Multidisciplinary review,28.94,Sex,0.60617137,0.34183314,0.05199545,0.60617137,0.05199545,abuse_indicators; close_recruiter_relationship,False,,
